scenario,previous_context_tuple,next_context_tuple,transition_count,transition_share
ambiguous_local_context,meeting_room|focused_work|high|nominal,meeting_room|interacting|high|nominal,6,0.0005106382978723404
ambiguous_local_context,meeting_room|focused_work|low|nominal,meeting_room|interacting|high|nominal,6,0.0005106382978723404
ambiguous_local_context,meeting_room|focused_work|low|nominal,meeting_room|interacting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,meeting_room|focused_work|low|nominal,office|interacting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,meeting_room|focused_work|medium|degraded,office|interacting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,meeting_room|focused_work|medium|nominal,office|interacting|medium|degraded,6,0.0005106382978723404
ambiguous_local_context,meeting_room|interacting|high|degraded,office|interacting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,meeting_room|interacting|high|nominal,office|focused_work|low|nominal,6,0.0005106382978723404
ambiguous_local_context,meeting_room|interacting|medium|nominal,office|interacting|low|nominal,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|high|nominal,office|interacting|high|degraded,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|low|nominal,meeting_room|interacting|high|degraded,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|low|nominal,meeting_room|interacting|high|nominal,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|low|nominal,office|focused_work|medium|sparse,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|low|nominal,office|interacting|low|nominal,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|low|sparse,office|interacting|medium|nominal,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|medium|degraded,office|focused_work|low|nominal,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|medium|nominal,home|resting|low|nominal,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|medium|nominal,meeting_room|interacting|low|nominal,6,0.0005106382978723404
ambiguous_local_context,office|focused_work|medium|nominal,office|focused_work|high|degraded,6,0.0005106382978723404
