scenario,policy,policy_label,metric,mean,ci95_low,ci95_high,std,median,min,max
degraded_ego,opportunistic_all,Opportunistic all,macro_f1_env_load,0.9974853267875099,0.9963578472741401,0.9985067296733451,0.008456348563569523,1.0,0.9419191919191919,1.0
degraded_ego,opportunistic_all,Opportunistic all,macro_f1_resource_state,0.8979404384749414,0.889946102889041,0.9057443722467547,0.06459909153942199,0.9112664604655452,0.7117484831770545,1.0
degraded_ego,siot_aware,SIoT-aware,overall_context_accuracy,0.1535,0.14541666666666667,0.16208541666666665,0.06648842470880788,0.14583333333333334,0.0,0.3541666666666667
degraded_ego,siot_aware,SIoT-aware,mean_variable_accuracy,0.6202291666666667,0.6127286458333333,0.6272921874999998,0.057500679798525016,0.6197916666666666,0.4166666666666667,0.7864583333333334
degraded_ego,siot_aware,SIoT-aware,convergence_time,4.978320868895245,4.500941510280671,5.510953803195325,4.039754758118906,3.924812030075188,0.0,48.0
degraded_ego,siot_aware,SIoT-aware,nodes_visited,9.3565,9.157627083333335,9.572958333333334,1.7276599175527656,9.0,8.75,19.416666666666668
degraded_ego,siot_aware,SIoT-aware,visited_node_count,9.3565,9.171143749999999,9.590747916666665,1.7276599175527656,9.0,8.75,19.416666666666668
degraded_ego,siot_aware,SIoT-aware,traversed_edge_count,35.48666666666667,35.069179166666665,35.93283541666667,3.4687513442154416,35.0,29.0,49.666666666666664
degraded_ego,siot_aware,SIoT-aware,scored_candidate_count,8.256583333333332,8.1044875,8.416116666666666,1.2365674659233152,8.0,7.75,15.083333333333334
degraded_ego,siot_aware,SIoT-aware,discovered_candidate_count,8.256583333333332,8.124997916666667,8.415360416666667,1.2365674659233152,8.0,7.75,15.083333333333334
degraded_ego,siot_aware,SIoT-aware,selected_source_count,4.1315,4.075906249999999,4.187089583333333,0.44907370949993713,4.291666666666667,2.0,4.666666666666667
degraded_ego,siot_aware,SIoT-aware,estimated_latency,0.6321403307644375,0.6211548863207089,0.6420638584729265,0.08496448367616254,0.6380735152557937,0.23189101827947897,0.9103262509247686
degraded_ego,siot_aware,SIoT-aware,privacy_exposure_cost,1.1027906157521925,1.080616614798398,1.1224644170401528,0.1693572753717522,1.1425373105451269,0.44129163840347757,1.4008900993072697
degraded_ego,siot_aware,SIoT-aware,discovery_cost,52.92824166666667,52.25556208333334,53.73944260416666,6.069891460749845,52.05833333333335,43.5,81.69166666666666
degraded_ego,siot_aware,SIoT-aware,recruitment_cost,5.886588586836583,5.802261297683007,5.957157429638364,0.6430336415153595,6.108181907716501,2.6813968698827693,6.775830479783046
degraded_ego,siot_aware,SIoT-aware,selection_cost,8.256583333333332,8.118895833333331,8.4223375,1.2365674659233152,8.0,7.75,15.083333333333334
degraded_ego,siot_aware,SIoT-aware,total_operational_cost,59.64048858683658,58.90382435253629,60.46152838216405,6.165097616390815,58.6813847869977,50.89214942154022,89.08055203328063
degraded_ego,siot_aware,SIoT-aware,ego_missing_rate,0.52025,0.5152479166666667,0.5249583333333333,0.03965568407212291,0.5208333333333334,0.4114583333333333,0.6197916666666666
degraded_ego,siot_aware,SIoT-aware,macro_f1_place,0.6141744723429607,0.6004480050855855,0.6282821154014978,0.10996819303083517,0.6180396466278819,0.1974327122153209,0.9298039215686273
degraded_ego,siot_aware,SIoT-aware,macro_f1_activity,0.5792362997064895,0.5635940287589315,0.5948552281461472,0.12670578854712786,0.5849059744260983,0.1428985507246377,0.8552922077922078
degraded_ego,siot_aware,SIoT-aware,macro_f1_env_load,0.5861846455160407,0.5729634053526003,0.6001531406080137,0.10737221662665154,0.6006823957138548,0.17844857241142073,0.8215994531784006
degraded_ego,siot_aware,SIoT-aware,macro_f1_resource_state,0.6045733308866416,0.5910242409923383,0.6179420871271232,0.10994237485089381,0.6114726793158165,0.2614087301587301,0.8739495798319328
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,overall_context_accuracy,0.1365,0.12925,0.14408541666666666,0.06047050756107752,0.125,0.0,0.3333333333333333
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,mean_variable_accuracy,0.60325,0.5960588541666667,0.6097708333333334,0.05490619916979811,0.609375,0.40625,0.7291666666666666
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,convergence_time,5.633456656204532,5.039226779461166,6.289331976281787,5.060931440140967,4.359375,0.0,48.0
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,nodes_visited,9.3565,9.155891666666667,9.586868749999999,1.7276599175527656,9.0,8.75,19.416666666666668
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,visited_node_count,9.3565,9.159531249999999,9.588391666666668,1.7276599175527656,9.0,8.75,19.416666666666668
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,traversed_edge_count,35.48666666666667,35.09994791666667,35.91669375,3.4687513442154416,35.0,29.0,49.666666666666664
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,scored_candidate_count,8.256583333333332,8.12433125,8.42062083333333,1.2365674659233152,8.0,7.75,15.083333333333334
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,discovered_candidate_count,8.256583333333332,8.111912499999999,8.418783333333332,1.2365674659233152,8.0,7.75,15.083333333333334
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,selected_source_count,3.887666666666667,3.802966666666667,3.9580125,0.604464601330376,4.0625,1.6666666666666667,4.666666666666667
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,estimated_latency,0.6179454831132857,0.6072234792760823,0.6279800711875254,0.0832375543833448,0.6249372262893309,0.23189101827947897,0.8217174771947068
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,privacy_exposure_cost,1.0514639104501238,1.028574658882245,1.0740494784664985,0.1876897699223289,1.0895868495165808,0.44129163840347757,1.4008900993072697
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,discovery_cost,52.92824166666667,52.2150690625,53.67265145833334,6.069891460749845,52.05833333333335,43.5,81.69166666666666
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,recruitment_cost,5.5322275900402875,5.424455202697199,5.638106281292443,0.8466506003092751,5.809316145602688,2.4403491714884287,6.719234416008848
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,selection_cost,8.256583333333332,8.108739583333334,8.421825,1.2365674659233152,8.0,7.75,15.083333333333334
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,total_operational_cost,59.28612759004029,58.54048543244595,60.08195922255222,6.174036383583255,58.185815443280575,50.89214942154022,88.05337048417077
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,ego_missing_rate,0.52025,0.5151661458333333,0.5253546875,0.03965568407212291,0.5208333333333334,0.4114583333333333,0.6197916666666666
degraded_ego,siot_aware_trust_privacy,Privacy-aware SIoT,macro_f1_place,0.587815927853744,0.5757083067063669,0.6009825685359509,0.10175927001569657,0.598592314548197,0.1974327122153209,0.8630394167236272
